molecule_id,canonical_smiles,standard_inchi_key,alogp_calculated,mw_freebase_calculated,psa_calculated,exposure_measurement
CHEMBL3746665,CCc1cc2c(cc1N1CCC(N(C)C)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,LSTKGNJVVPYVIX-UHFFFAOYSA-N,5.00,440.59,63.13,not_found_in_current_record
CHEMBL3746960,CCc1cc2c(cc1N1CCN(C)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,VYUPBBUIPPRDHY-UHFFFAOYSA-N,4.22,412.54,63.13,not_found_in_current_record
