comparison,molecule_chembl_id,canonical_smiles_first,activity_id_first,nM_first,potential_duplicate_first,data_validity_comment_first,document_chembl_id_first,canonical_smiles_second,activity_id_second,nM_second,potential_duplicate_second,data_validity_comment_second,document_chembl_id_second,pIC50_first,pIC50_second,delta_log10_second_over_first
renin_plasma_vs_trypsin,CHEMBL591813,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNS(N)(=O)=O)c2cccc(Cl)c2)C1,3076274,297.0,0,,CHEMBL1153179,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNS(N)(=O)=O)c2cccc(Cl)c2)C1,3076273,46.0,0,,CHEMBL1153179,6.527243550682788,7.337242168318426,-0.8099986176356383
renin_plasma_vs_trypsin,CHEMBL592047,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(=O)NC)c2cccc(Cl)c2)C1,3076271,141.0,0,,CHEMBL1153179,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(=O)NC)c2cccc(Cl)c2)C1,3076270,46.0,0,,CHEMBL1153179,6.85078088734462,7.337242168318426,-0.4864612809738058
renin_plasma_vs_trypsin,CHEMBL592048,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(N)=O)c2cccc(Cl)c2)C1,3076269,200.0,0,,CHEMBL1153179,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(N)=O)c2cccc(Cl)c2)C1,3076268,31.0,0,,CHEMBL1153179,6.698970004336019,7.508638306165727,-0.8096683018297085
renin_plasma_vs_trypsin,CHEMBL592762,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cccc(F)c2)C1,3076282,1.8,0,,CHEMBL1153179,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cccc(F)c2)C1,3076281,0.59,0,,CHEMBL1153179,8.744727494896694,9.229147988357855,-0.4844204934611619
renin_plasma_vs_trypsin,CHEMBL592763,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(=O)OC)c2cccc(Cl)c2)C1,3076276,3.7,0,,CHEMBL1153179,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(=O)OC)c2cccc(Cl)c2)C1,3076275,0.18,0,,CHEMBL1153179,8.431798275933005,9.744727494896694,-1.312929218963689
renin_plasma_vs_trypsin,CHEMBL592765,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cc(F)cc(Cl)c2)C1,3076308,1.5,0,,CHEMBL1153179,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cc(F)cc(Cl)c2)C1,3076307,0.52,0,,CHEMBL1153179,8.823908740944319,9.2839966563652,-0.46008791542088207
renin_plasma_vs_trypsin,CHEMBL604248,CCC(=O)NCCC[C@@](O)(c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@H](CNC)CC2CCCCC2)C1,3076263,21.0,0,,CHEMBL1153179,CCC(=O)NCCC[C@@](O)(c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@H](CNC)CC2CCCCC2)C1,3076262,1.5,0,,CHEMBL1153179,7.6777807052660805,8.823908740944319,-1.146128035678238
renin_plasma_vs_trypsin,CHEMBL605408,COC(=O)NCCO[C@@H](c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@H](CN)CC2CCCCC2)C1,3076288,2.6,0,,CHEMBL1153179,COC(=O)NCCO[C@@H](c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@H](CN)CC2CCCCC2)C1,3076287,0.48,0,,CHEMBL1153179,8.585026652029182,9.318758762624412,-0.7337321105952308
renin_plasma_vs_trypsin,CHEMBL606238,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cc(F)ccc2F)C1,3076298,2.7,0,,CHEMBL1153179,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cc(F)ccc2F)C1,3076297,0.62,0,,CHEMBL1153179,8.568636235841012,9.207608310501746,-0.6389720746607335
renin_plasma_vs_trypsin,CHEMBL608264,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(=O)C2CC2)c2cccc(Cl)c2)C1,3076266,79.0,0,,CHEMBL1153179,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(=O)C2CC2)c2cccc(Cl)c2)C1,3076265,17.0,0,,CHEMBL1153179,7.102372908709558,7.769551078621726,-0.6671781699121675
