source_id,assay_axis,molecule_id,canonical_smiles,first_ic50_nM,second_ic50_nM,first_relation,second_relation
CHEMBL2176947_IDH1_R132C_enzyme_vs_HT1080_2HG_48h,biochemical_to_cellular,CHEMBL2180727,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cn1ccnc1C)c1cccc(F)c1,160.0,480.0,=,=
CHEMBL2176947_IDH1_R132C_enzyme_vs_HT1080_2HG_48h,biochemical_to_cellular,CHEMBL2180728,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cn1c(C)nc2ccccc21)c1cccc(F)c1,40.0,110.0,=,=
CHEMBL2176947_IDH1_R132C_enzyme_vs_HT1080_2HG_48h,biochemical_to_cellular,CHEMBL2180729,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cn1ccc2ccccc21)c1cccc(F)c1,40.0,170.0,=,=
CHEMBL2176947_IDH1_R132C_enzyme_vs_HT1080_2HG_48h,biochemical_to_cellular,CHEMBL2180730,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cc1cccs1)c1cccc(F)c1,30.0,150.0,=,=
CHEMBL2176947_IDH1_R132C_enzyme_vs_HT1080_2HG_48h,biochemical_to_cellular,CHEMBL2180738,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cc1cscn1)c1cccc(F)c1,60.0,220.0,=,=
CHEMBL2176947_IDH1_R132C_enzyme_vs_HT1080_2HG_48h,biochemical_to_cellular,CHEMBL2180739,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cc1ccncc1)c1cccc(F)c1,50.0,260.0,=,=
CHEMBL2176947_IDH1_R132C_enzyme_vs_HT1080_2HG_48h,biochemical_to_cellular,CHEMBL2180740,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cc1c[nH]c2ccccc12)c1cccc(F)c1,30.0,90.0,=,=
CHEMBL2176947_IDH1_R132C_enzyme_vs_HT1080_2HG_48h,biochemical_to_cellular,CHEMBL2180746,Cc1ccccc1C(C(=O)NC1CCCC1)N(C(=O)Cc1cccs1)c1cccc(F)c1,50.0,390.0,=,=
