molecule_id,assay_axis,assay_id,activity_id,source_document,assay_description,standard_type,relation,value,units,potential_duplicate,data_validity_comment
CHEMBL2180730,U87_2HG,CHEMBL2188258,12147147,CHEMBL2176947,Inhibition of IDH1 R132H mutant expressed in human U87 cells assessed as inhibition of 2-hydroxyglutarate production after 48 hrs by LC/MS analysis,IC50,=,190.0,nM,0,
CHEMBL2180730,WT_enzyme,CHEMBL2188253,12147120,CHEMBL2176947,Inhibition of wild type IDH1 using DL-isocitrate as substrate by resazurin-based fluorimetric analysis,IC50,=,2900.0,nM,0,
CHEMBL2180730,HT1080_growth,CHEMBL2188254,12147182,CHEMBL2176947,Growth inhibition of human HT1080 cells after 72 hrs by CellTiter-Glo assay,GI50,>,20000.0,nM,0,
CHEMBL2180730,U87_growth,CHEMBL2188257,12147190,CHEMBL2176947,Growth inhibition of human U87 cells after 72 hrs by CellTiter-Glo assay,GI50,>,20000.0,nM,0,
CHEMBL2180738,R132C_enzyme,CHEMBL2188256,12147164,CHEMBL2176947,Inhibition of IDH1 R132C mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,IC50,=,60.0,nM,0,
CHEMBL2180738,HT1080_2HG,CHEMBL2188255,12147145,CHEMBL2176947,Inhibition of IDH1 R132C mutant overexpressed in human HT1080 cells assessed as inhibition of 2-hydroxyglutarate production after 48 hrs by LC/MS analysis,IC50,=,220.0,nM,0,
CHEMBL2180738,R132H_enzyme,CHEMBL2188262,12147155,CHEMBL2176947,Inhibition of IDH1 R132H mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,IC50,=,100.0,nM,0,
CHEMBL2180738,U87_2HG,CHEMBL2188258,12147140,CHEMBL2176947,Inhibition of IDH1 R132H mutant expressed in human U87 cells assessed as inhibition of 2-hydroxyglutarate production after 48 hrs by LC/MS analysis,IC50,=,290.0,nM,0,
CHEMBL2180738,WT_enzyme,CHEMBL2188253,12147112,CHEMBL2176947,Inhibition of wild type IDH1 using DL-isocitrate as substrate by resazurin-based fluorimetric analysis,IC50,=,19700.0,nM,0,
CHEMBL2180738,HT1080_growth,CHEMBL2188254,12147181,CHEMBL2176947,Growth inhibition of human HT1080 cells after 72 hrs by CellTiter-Glo assay,GI50,>,20000.0,nM,0,
CHEMBL2180738,U87_growth,CHEMBL2188257,12147189,CHEMBL2176947,Growth inhibition of human U87 cells after 72 hrs by CellTiter-Glo assay,GI50,>,20000.0,nM,0,
CHEMBL2180739,R132C_enzyme,CHEMBL2188256,12147168,CHEMBL2176947,Inhibition of IDH1 R132C mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,IC50,=,50.0,nM,0,
CHEMBL2180739,HT1080_2HG,CHEMBL2188255,12147142,CHEMBL2176947,Inhibition of IDH1 R132C mutant overexpressed in human HT1080 cells assessed as inhibition of 2-hydroxyglutarate production after 48 hrs by LC/MS analysis,IC50,=,260.0,nM,0,
CHEMBL2180739,R132H_enzyme,CHEMBL2188262,12147170,CHEMBL2176947,Inhibition of IDH1 R132H mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,IC50,=,50.0,nM,0,
CHEMBL2180739,U87_2HG,CHEMBL2188258,12147146,CHEMBL2176947,Inhibition of IDH1 R132H mutant expressed in human U87 cells assessed as inhibition of 2-hydroxyglutarate production after 48 hrs by LC/MS analysis,IC50,=,210.0,nM,0,
CHEMBL2180739,WT_enzyme,CHEMBL2188253,12147113,CHEMBL2176947,Inhibition of wild type IDH1 using DL-isocitrate as substrate by resazurin-based fluorimetric analysis,IC50,=,19300.0,nM,0,
CHEMBL2180739,HT1080_growth,CHEMBL2188254,12147180,CHEMBL2176947,Growth inhibition of human HT1080 cells after 72 hrs by CellTiter-Glo assay,GI50,>,20000.0,nM,0,
CHEMBL2180739,U87_growth,CHEMBL2188257,12147188,CHEMBL2176947,Growth inhibition of human U87 cells after 72 hrs by CellTiter-Glo assay,GI50,>,20000.0,nM,0,
CHEMBL2180740,R132C_enzyme,CHEMBL2188256,12147174,CHEMBL2176947,Inhibition of IDH1 R132C mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,IC50,=,30.0,nM,0,
CHEMBL2180740,HT1080_2HG,CHEMBL2188255,12147156,CHEMBL2176947,Inhibition of IDH1 R132C mutant overexpressed in human HT1080 cells assessed as inhibition of 2-hydroxyglutarate production after 48 hrs by LC/MS analysis,IC50,=,90.0,nM,0,
CHEMBL2180740,R132H_enzyme,CHEMBL2188262,12147166,CHEMBL2176947,Inhibition of IDH1 R132H mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,IC50,=,60.0,nM,0,
CHEMBL2180740,U87_2HG,CHEMBL2188258,12147139,CHEMBL2176947,Inhibition of IDH1 R132H mutant expressed in human U87 cells assessed as inhibition of 2-hydroxyglutarate production after 48 hrs by LC/MS analysis,IC50,=,360.0,nM,0,
CHEMBL2180740,WT_enzyme,CHEMBL2188253,12147116,CHEMBL2176947,Inhibition of wild type IDH1 using DL-isocitrate as substrate by resazurin-based fluorimetric analysis,IC50,=,6300.0,nM,0,
CHEMBL2180740,HT1080_growth,CHEMBL2188254,12147176,CHEMBL2176947,Growth inhibition of human HT1080 cells after 72 hrs by CellTiter-Glo assay,GI50,>,3000.0,nM,0,
CHEMBL2180740,U87_growth,CHEMBL2188257,12147187,CHEMBL2176947,Growth inhibition of human U87 cells after 72 hrs by CellTiter-Glo assay,GI50,>,20000.0,nM,0,
CHEMBL2180746,R132C_enzyme,CHEMBL2188256,12147169,CHEMBL2176947,Inhibition of IDH1 R132C mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,IC50,=,50.0,nM,0,
CHEMBL2180746,HT1080_2HG,CHEMBL2188255,12147137,CHEMBL2176947,Inhibition of IDH1 R132C mutant overexpressed in human HT1080 cells assessed as inhibition of 2-hydroxyglutarate production after 48 hrs by LC/MS analysis,IC50,=,390.0,nM,0,
CHEMBL2180746,R132H_enzyme,CHEMBL2188262,12147157,CHEMBL2176947,Inhibition of IDH1 R132H mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,IC50,=,90.0,nM,0,
CHEMBL2180746,U87_2HG,CHEMBL2188258,12147132,CHEMBL2176947,Inhibition of IDH1 R132H mutant expressed in human U87 cells assessed as inhibition of 2-hydroxyglutarate production after 48 hrs by LC/MS analysis,IC50,=,580.0,nM,0,
CHEMBL2180746,WT_enzyme,CHEMBL2188253,12147115,CHEMBL2176947,Inhibition of wild type IDH1 using DL-isocitrate as substrate by resazurin-based fluorimetric analysis,IC50,=,7700.0,nM,0,
CHEMBL2180746,HT1080_growth,CHEMBL2188254,12147183,CHEMBL2176947,Growth inhibition of human HT1080 cells after 72 hrs by CellTiter-Glo assay,GI50,>,20000.0,nM,0,
CHEMBL2180746,U87_growth,CHEMBL2188257,12147191,CHEMBL2176947,Growth inhibition of human U87 cells after 72 hrs by CellTiter-Glo assay,GI50,>,20000.0,nM,0,
